type,name,calendar,category,sbj_list,cnbr_name
plan,BIOMECHOPT,2022,Reqd,list,biomech_topics
,,,Lists,list,biomech_listA
,,,,list,biomech_listB
,,,,list,biomech_listC
,,,,list,biomech_listD
,,,,list,biomech_listE
list,biomech_listA,2022,,BIOL,201
,,,,BIOL,273
,,,,BME,284
,,,,SYDE,584
,,,,list,kin100:
list,biomech_listB,2022,,KIN,320
,,,,KIN,420
,,,,SYDE,162
,,,,SYDE,543
,,,,SYDE,548
,,,,list,kin121:
list,biomech_listC,2022,,CHE,341
,,,,CIVE,306
,,,,CIVE,422
,,,,ECE,380
,,,,ECE,486
,,,,ME,322
,,,,ME,360
,,,,ME,423
,,,,ME,547
,,,,ME,555
,,,,ME,559
,,,,ME,566
,,,,MTE,360
,,,,PHYS,395
,,,,SYDE,352
,,,,SYDE,543
,,,,SYDE,544
,,,,SYDE,553
,,,,SYDE,572
,,,,SYDE,575
list,biomech_listD,2022,,BME,551
,,,,KIN,312
,,,,KIN,340
,,,,KIN,356
,,,,KIN,416
,,,,KIN,420
,,,,KIN,422
,,,,KIN,425
,,,,KIN,472
,,,,list,kin221:
,,,,list,kin255:
list,biomech_listE,2022,,list,eng_cheProj:
,,,,list,eng_civeProj:
,,,,list,eng_eceProj:
,,,,list,eng_enveProj:
,,,,list,eng_geneProj:
,,,,list,eng_meProj:
,,,,list,eng_neProj:
,,,,list,eng_sydeProj:
list,biomech_topics,2022,,CIVE,460
,,,,ME,574
list,kin100:,2022,,KIN,100
,,,,KIN,100L
list,kin121:,2022,,KIN,121
,,,,KIN,121L
list,kin221:,2022,,KIN,221
,,,,KIN,221L
list,kin255:,2022,,KIN,255
,,,,KIN,255L
